cname,sname,cont,body,fwater,imgurl
"Trevally, Bigeye",Caranx sexfasciatus,1 2 3 5,2,n,https://www.igfa.org/Images/SpeciesID_Images/trevally_bigeye.png
"Trevally, Bluefin",Caranx melampygus,1 5 6,2,n,https://www.igfa.org/Images/SpeciesID_Images/trevally_bluefin.png
"Trevally, Giant",Caranx ignobilis,3 5 6,2,n,https://www.igfa.org/Images/SpeciesID_Images/trevally_giant.png
"Trevally, Golden",Gnathanodon speciosus,1 2 5 6,2,n,"https://www.igfa.org/Images/SpeciesID_Images/BWTrevally,%20golden.png"
Tripletail,Lobotes surinamensis,1 2 3 4 5 6,2,n,https://www.igfa.org/Images/SpeciesID_Images/tripletail.png
"Trout, Brook",Salvelinus fontinalis,1 2 4,3,y,https://www.igfa.org/Images/SpeciesID_Images/trout_brook.png
"Trout, Brown",Salmo trutta,1 3 4 5 6,3,y,https://www.igfa.org/Images/SpeciesID_Images/trout_brown.png
"Trout, Bull",Salvelinus confluentus,1,3,y,https://www.igfa.org/Images/SpeciesID_Images/trout_bull.png
"Trout, Cutthroat",Oncorhynchus clarkii,1,3,y,https://www.igfa.org/Images/SpeciesID_Images/trout_cutthroat.png
"Trout, Golden",Oncorhynchus aguabonita,1,3,y,https://www.igfa.org/Images/SpeciesID_Images/trout_golden.png
"Trout, Lake",Salvelinus namaycush,1,3,y,https://www.igfa.org/Images/SpeciesID_Images/trout_lake.png
"Trout, Rainbow",Oncorhynchus mykiss,1 5,3,b,https://www.igfa.org/Images/SpeciesID_Images/trout_rainbow.png
"Trout, Tiger",Salmo trutta x Salvelinus fontinalis,4,3,y,https://www.igfa.org/Images/SpeciesID_Images/trout_tiger.png
"Tuna, Bigeye",Thunnus obesus,1 2 3 4 5 6,2,n,https://www.igfa.org/Images/SpeciesID_Images/tuna_bigeye.png
"Tuna, Blackfin",Thunnus atlanticus,1 2,2,n,https://www.igfa.org/Images/SpeciesID_Images/tuna_blackfin.png
"Tuna, Bluefin",Thunnus thynnus,1 4,2,n,https://www.igfa.org/Images/SpeciesID_Images/tuna_bluefin.png
"Tuna, Dogtooth",Gymnosarda unicolor,5 6,2,n,https://www.igfa.org/Images/SpeciesID_Images/tuna_dogtooth.png
"Tuna, Longtail",Thunnus tonggol,5 6,3,n,https://www.igfa.org/Images/SpeciesID_Images/tuna_longtail.png
"Tuna, Pacific Bluefin",Thunnus orientalis,1 2 3 4 5 6,3,n,https://www.igfa.org/Images/SpeciesID_Images/BWTuna_Pacblue.png
"Tuna, Skipjack",Katsuwonus pelamis,1 2 5,2,n,https://www.igfa.org/Images/SpeciesID_Images/tuna_skipjack.png
"Tuna, Southern Bluefin",Thunnus maccoyii,1 2 3 4 5,3,n,https://www.igfa.org/Images/SpeciesID_Images/tuna_southblue.png
"Tuna, Yellowfin",Thunnus albacares,1 2 3 4 5 6,2,n,https://www.igfa.org/Images/SpeciesID_Images/tuna_yellowfin.png
"Tunny, Little",Euthynnus alletteratus,1 2 4,2,n,https://www.igfa.org/Images/SpeciesID_Images/tunny_little.png
Wahoo,Acanthocybium solandri,1 2 3 4 5 6,2,n,https://www.igfa.org/Images/SpeciesID_Images/wahoo.png
Walleye,Sander vitreus,1,3,y,https://www.igfa.org/Images/SpeciesID_Images/walleye.png
Warmouth,Lepomis gulosus,1,2,y,https://www.igfa.org/Images/SpeciesID_Images/warmouth.png
Weakfish,Cynoscion regalis,1,3,n,https://www.igfa.org/Images/SpeciesID_Images/weakfish.png
Wels,Silurus glanis,4 5,1,b,https://www.igfa.org/Images/SpeciesID_Images/BWWels.png
"Whitefish, Lake",Coregonus clupeaformis,1,3,y,https://www.igfa.org/Images/SpeciesID_Images/whitefish_lake.png
"Whitefish, Mountain",Prosopium williamsoni,1,3,y,https://www.igfa.org/Images/SpeciesID_Images/whitefish_mountain.png
"Whitefish, Round",Prosopium cylindraceum,1 5,3,y,https://www.igfa.org/Images/SpeciesID_Images/whitefish_round.png
"Yellowtail, California",Seriola lalandi,1,3,n,"https://www.igfa.org/Images/SpeciesID_Images/BWYellowtail,%20California.png"
Zander,Sander lucioperca,4 5,3,y,https://www.igfa.org/Images/SpeciesID_Images/BWZander.png
